"childcare","children","care","gender","women","security","abuse","education","sustainability","school","service","criminal","safety","prison","girls","homelessness","housing","plastic","theft","immigration","climate","aid","pollution","patients","mental","university","hospital","digital","vulnerable","disabled","water","welfare","knife","refugee","old","electricity","Member_ID","Date","Member_name","Gender","party","constituency","RegionName","WageMedianConst","WageMedianRegion","Minority_indicator"
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4682,"2019-05","Luke Pollard","M","Labour (Co-op)","Plymouth, Sutton and Devonport","South West",560,664,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4683,"2019-05","Emma Dent Coad","F","Labour","Kensington","London",931,796,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4665,"2019-05","Laura Pidcock","F","Labour","North West Durham","North East",648,614,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3971,"2019-05","Charlie Elphicke","M","Independent","Dover","South East",691,724,"0"
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3990,"2019-05","Richard Graham","M","Conservative","Gloucester","South West",609,664,"0"
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470,"2019-05","Ian C. Lucas","M","Labour","Wrexham","Wales",669,636,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4635,"2019-05","Eddie Hughes","M","Conservative","Walsall North","West Midlands",580,652,"0"
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,"2019-05","David Hanson","M","Labour","Delyn","Wales",674,636,"0"
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4492,"2019-05","Maria Caulfield","F","Conservative","Lewes","South East",684,724,"0"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3971,"2019-05","Charlie Elphicke","M","Independent","Dover","South East",691,724,"0"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4509,"2019-05","Craig Tracey","M","Conservative","North Warwickshire","West Midlands",633,652,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1513,"2019-05","Jo Swinson","F","Liberal Democrat","East Dunbartonshire","Scotland",835,702,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1537,"2019-05","Mr Philip Hollobone","M","Conservative","Kettering","East Midlands",671,640,"0"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4674,"2019-05","Vicky Ford","F","Conservative","Chelmsford","East of England",683,706,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4683,"2019-05","Emma Dent Coad","F","Labour","Kensington","London",931,796,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4417,"2019-05","Deidre Brock","F","Scottish National Party","Edinburgh North and Leith","Scotland",696,702,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4488,"2019-05","Martyn Day","M","Scottish National Party","Linlithgow and East Falkirk","Scotland",704,702,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4491,"2019-06","Vicky Foxcroft","F","Labour","Lewisham, Deptford","London",791,796,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4069,"2019-06","Peter Aldous","M","Conservative","Waveney","East of England",581,706,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4025,"2019-06","Mrs Pauline Latham","F","Conservative","Mid Derbyshire","East Midlands",707,640,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4407,"2019-06","Nigel Huddleston","M","Conservative","Mid Worcestershire","West Midlands",633,652,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3914,"2019-06","Shabana Mahmood","F","Labour","Birmingham, Ladywood","West Midlands",630,652,"1"
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4492,"2019-06","Maria Caulfield","F","Conservative","Lewes","South East",684,724,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4056,"2019-06","Nic Dakin","M","Labour","Scunthorpe","Yorkshire and The Humber",609,632,"0"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4212,"2019-06","Debbie Abrahams","F","Labour","Oldham East and Saddleworth","North West",644,649,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4635,"2019-06","Eddie Hughes","M","Conservative","Walsall North","West Midlands",580,652,"0"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533,"2019-06","Dame Diana Johnson","F","Labour","Kingston upon Hull North","Yorkshire and The Humber",567,632,"0"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,"2019-08","Ann Clwyd","F","Labour","Cynon Valley","Wales",609,636,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4618,"2019-08","Liz Twist","F","Labour","Blaydon","North East",625,614,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4667,"2019-08","Mike Amesbury","M","Labour","Weaver Vale","North West",675,649,"0"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,"2019-08","Sir Julian Lewis","M","Conservative","New Forest East","South East",698,724,"0"
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490,"2019-08","Mrs Madeleine Moon","F","Labour","Bridgend","Wales",670,636,"0"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,"2019-08","Mr Adrian Bailey","M","Labour (Co-op)","West Bromwich West","West Midlands",614,652,"0"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3913,"2019-08","Jack Dromey","M","Labour","Birmingham, Erdington","West Midlands",573,652,"0"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4432,"2019-09","Patrick Grady","M","Scottish National Party","Glasgow North","Scotland",730,702,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4368,"2019-09","Neil Coyle","M","Labour","Bermondsey and Old Southwark","London",872,796,"0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3985,"2019-09","Robert Halfon","M","Conservative","Harlow","East of England",662,706,"0"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4382,"2019-09","Daniel Zeichner","M","Labour","Cambridge","East of England",779,706,"0"
